plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
1RXS J160929.1-210524 b,09:30.3,242.376268,-21:04:58.9,-21.083036,,,,,,,7.25E+00,1.80E-01,0,,,,2.219,0.002,-0.002,0,330,,,0,,,,,27.7,0.1,-0.1,0,150,,,0,Gemini:Gillett,NIRI,4/27/2008,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref>Lafreniere et al. 2008</a>,1,0,0,1,352.89056,22.0304266,,,,,,,8.92,0.02,0,,,,,,,,,,1.62E+01,1.80E-01,0,,,,K7 V,0.85,0.2,-0.1,0,5,,,0,,,,,8,4.19E+00,-2.09E+00,0,L4,1800,200,-100,0,1.71E-01,,,0,Chabrier et al. (2000),1,
HN Peg b,44:31.3,326.130554,+14:46:19.0,14.7719393,,,,,,,,,,,,,43.2,0.4,-0.4,0,795,15,-15,0,,,,,254.4,0.6,-0.6,0,18.4,0.3,-0.3,0,IRTF,SpeX,7/2/2006,,<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref>Luhman et al. 2007</a>,1,0,0,1,69.85936,-28.2692843,,,,,,,,,,,,,1.59E+01,3.00E-02,0,15.4,0.03,0,1.51E+01,3.00E-02,0,,,,GOV,,,,,300,200,-200,0,,,,,22,9.40E+00,-9.40E+00,0,T2.5,1130,70,-70,0,1.07E+00,1.40E-01,-6.00E-02,0,Burrows et al. (1997) and Baraffe et al. (2003),1,
HD 203030 b,18:59.0,319.742584,+26:13:46.1,26.230545,,,,,,,9.56E+00,1.00E-01,0,,,,11.923,0.021,-0.021,0,487.1,1.8,-1.8,0,,,,,108.8,0.1,-0.1,0,40,,,0,Hale,PHARO,8/28/2002,,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651.1166M/abstract target=ref>Metchev et al. 2006</a>,0,0,0,1,74.61358,-16.1177434,,,,,,,6.65,0.1,0,,,,1.81E+01,5.50E-01,0,16.85,0.12,0,1.62E+01,1.00E-01,0,,,,G8V,,,,,265,135,-135,0,,,,,24,8.40E+00,-1.15E+01,0,L7.5,1206,74,-116,0,1.06E+00,1.60E-01,-6.00E-02,0,Burrows et al. (1997),1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.
GQ Lup b,49:12.1,237.300427,-35:39:05.1,-35.651421,,,,,,,6.00E+00,1.00E-01,0,,,,0.733,0.003,-0.003,0,,,,,,,,,,,,,140,50,-50,0,VLT:Yepun,NACO,6/25/2004,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,,,,,7.1,0.02,0,,,,,,,,,,1.31E+01,1.00E-01,0,,,,K7eV,,,,,1,1,-1,0,,,,,22,2.05E+01,-2.05E+01,0,,,,,,,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",1,
HD 100546 b,33:25.4,173.356003,-70:11:41.2,-70.1947861,,,,,,,9.60E+00,6.00E-02,0,9.40E+00,1.00E-01,0,0.457,0.014,-0.014,0,53,2,-2,0,,,,,8.4,1.4,-1.4,0,97,4,-4,0,VLT:Yepun,NACO,4/18/2013,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,1,1,0,1,296.36728,-8.323635,,,,,,,5.83,0.06,0,4.52,0.02,0,,,,,,,1.54E+01,6.00E-02,-1,1.39E+01,1.00E-01,0,,2.4,0.1,0.1,0,5,5,-4,0,32,,,0,8,2.50E+00,-2.50E+00,0,,932,193,-202,0,6.90E+00,2.70E+00,-2.90E+00,0,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",1,
2MASS J04414489+2301513 b,41:44.9,70.437073,+23:01:51.4,23.030941,1.68,0.1,0,,,,1.54E+00,1.00E-01,0,,,,0.105,0.004,-0.004,0,,,,,,,,,120.4,2.2,-2.2,0,140,,,0,Gemini:Gillett,NIRI,10/13/2009,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref>Todorov et al. 2010</a>,1,0,0,1,176.51059,-15.1142495,,,,13.94,0.03,0,13.4,0.03,0,,,,,,,15.62,0.1,0,1.49E+01,1.00E-01,0,,,,M8.5,0.02,,,0,1,,,0,,,,,8,2.50E+00,-2.50E+00,0,,,,,,,,,,"Chabrier et al. (2000), Burrows et al. (1997)",1,
Fomalhaut b,57:39.0,344.412689,-29:37:20.1,-29.6222363,,,,,,,,,,,,,12.7,,,0,97.6,,,0,1.30E+02,1.00E+01,-1.00E+01,0,,,,,7.7,,,0,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,,,,,,,,,,,22.9,,-1,,,,1.66E+01,,-1,A3V,,,,,200,100,-100,0,,,,,3,,,1,,,,,,1.20E+00,,,0,Kalas et al. (2008),1,Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
ROXs 42 B b,31:15.0,247.812567,-24:32:43.7,-24.545471,6.86,0.05,0,,,,,,,,,,1.169,0.005,-0.005,0,150,,,0,,,,,269.6,0.2,-0.2,0,135,,,0,Keck:II,NIRC2,6/22/2011,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,0.02,0,9.02,0.02,0,8.67,0.02,0,,,,,,,15.88,0.05,0,,,,,,,M0,,,,,2,1,-1,0,,,,,10,4.50E+00,-4.50E+00,0,M8-L0,2200,400,-400,0,,,,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",1,
ROXs 12 b,26:27.8,246.615609,-25:27:24.7,-25.456865,5.44,0.01,0,5.62E+00,2.00E-02,0,5.02E+00,1.00E-02,0,4.12E+00,1.00E-02,0,1.781,0.002,-0.002,0,210,20,-20,0,,,,,9.1,0.1,-0.1,0,120,,,0,Keck:II,NIRC2,,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...20K/abstract target=ref>Kraus et al. 2014</a>,0,1,0,1,352.24976,352.24976,11.02,,0,9.93,,0,9.26,,0,8.43,,,1.66E+01,7.00E-02,0,15.37,0.08,0,1.43E+01,6.00E-02,0,1.26E+01,9.00E-02,0,M0,0.87,0.08,-0.08,0,8,4,-2,0,,,,,16,4.00E+00,-4.00E+00,0,,,,,,,,,,Kraus et al. 2014,1,"imangsep and impa are the average across J, H, K and L bands. The date of observations is not included."
PDS 70 b,08:10.2,212.042333,-41:23:52.58,-41.3979389,9.12,0.24,0,,,,7.81E+00,3.10E-01,0,6.84E+00,6.20E-01,0,0.195,,,0,22,,,0,,,,,155,,,0,113.4,0.5,-0.5,0,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.0621,19.2085494,9.55,0.024,0,8.82,0.04,0,8.54,0.02,0,7.91,0.03,0,,,,17.94,0.24,0,1.64E+01,3.10E-01,0,1.48E+01,6.20E-01,0,K7,0.76,0.02,-0.02,0,5,1,-1,0,0.3,0,0,0,6,1.00E+00,-1.00E+00,0,L,1200,200,-200,0,,,,,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",1,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
