plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes,pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_rad,pl_dens,st_met,luminosity,hz_inner,hz_outer,s_eff,equilibrium_temp,greenhouse_factor,habitable_zone,esi,size_category,mass_category
1RXS J160929.1-210524 b,09:30.3,242.376268,-21:04:58.9,-21.083036,6.21,0.03,0.0,11.6,0.2,0.0,7.25,0.18,0.0,4.75,0.05,0.0,2.219,0.002,-0.002,0.0,330.0,2.5,-2.5,0.0,,,,,27.7,0.1,-0.1,0.0,150.0,25.0,-25.0,0.0,Gemini:Gillett,NIRI,4/27/2008,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref>Lafreniere et al. 2008</a>,1,0,0,1,352.89056,22.0304266,4.6,0.3,0.0,4.6,0.2,0.0,8.92,0.02,0.0,4.54,0.211,0.0,15.8,0.21,0.0,15.35,0.13,0.0,16.2,0.18,0.0,13.1,0.08,0.0,K7 V,0.85,0.2,-0.1,0.0,5.0,8.0,-2.0,0.0,17.3,1.0,-1.0,0.0,8.0,4.19,-2.09,0.0,L4,1800.0,200.0,-100.0,0.0,0.171,0.005,-0.005,0.0,Chabrier et al. (2000),1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.,1RXS J160929.1-210524 b,1RXS J160929.1-210524,2.38,3000.0,11.546399999999998,330.0,K,4060.0,0.95,1.395,0.0185,174720662.512202,10252.97998688714,14785.876402142509,127.6751932925058,140.89331205877468,1.5,no,0.6800915493523252,Neptune-like,High-mass
HN Peg b,44:31.3,326.130554,+14:46:19.0,14.7719393,6.21,0.03,0.0,11.6,0.2,0.0,7.25,0.18,0.0,4.75,0.05,0.0,43.2,0.4,-0.4,0.0,795.0,15.0,-15.0,0.0,,,,,254.4,0.6,-0.6,0.0,18.4,0.3,-0.3,0.0,IRTF,SpeX,7/2/2006,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref>Luhman et al. 2007</a>,1,0,0,1,69.85936,-28.2692843,4.6,0.3,0.0,4.6,0.2,0.0,8.92,0.02,0.0,4.54,0.211,0.0,15.9,0.03,0.0,15.4,0.03,0.0,15.1,0.03,0.0,13.1,0.08,0.0,GOV,0.85,0.2,-0.1,0.0,300.0,200.0,-200.0,0.0,17.3,1.0,-1.0,0.0,22.0,9.4,-9.4,0.0,T2.5,1130.0,70.0,-70.0,0.0,1.07,0.14,-0.06,0.0,Burrows et al. (1997) and Baraffe et al. (2003),1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.,HN Peg b,HN Peg,11.777,6991.57,11.546399999999998,773.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,21436.405507891955,30913.55320611787,81.37089848235735,125.88704094706236,1.2,no,0.6800915493523252,Gas Giant,High-mass
HD 203030 b,18:59.0,319.742584,+26:13:46.1,26.230545,6.21,0.03,0.0,11.6,0.2,0.0,9.56,0.1,0.0,4.75,0.05,0.0,11.923,0.021,-0.021,0.0,487.1,1.8,-1.8,0.0,,,,,108.8,0.1,-0.1,0.0,40.0,0.3,-0.3,0.0,Hale,PHARO,8/28/2002,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651.1166M/abstract target=ref>Metchev et al. 2006</a>,0,0,0,1,74.61358,-16.1177434,4.6,0.3,0.0,4.6,0.2,0.0,6.65,0.1,0.0,4.54,0.211,0.0,18.1,0.55,0.0,16.85,0.12,0.0,16.2,0.1,0.0,13.1,0.08,0.0,G8V,0.85,0.2,-0.1,0.0,265.0,135.0,-135.0,0.0,17.3,1.0,-1.0,0.0,24.0,8.4,-11.5,0.0,L7.5,1206.0,74.0,-116.0,0.0,1.06,0.16,-0.06,0.0,Burrows et al. (1997),1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.,HD 203030 b,HD 203030,14.46,3496.11248,11.546399999999998,773.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,81.37089848235735,125.88704094706236,1.5,no,0.6800915493523252,Gas Giant,High-mass
GQ Lup b,49:12.1,237.300427,-35:39:05.1,-35.651421,6.21,0.03,0.0,11.6,0.2,0.0,6.0,0.1,0.0,4.75,0.05,0.0,0.733,0.003,-0.003,0.0,487.1,1.8,-1.8,0.0,,,,,108.8,0.1,-0.1,0.0,140.0,50.0,-50.0,0.0,VLT:Yepun,NACO,6/25/2004,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,4.6,0.3,0.0,4.6,0.2,0.0,7.1,0.02,0.0,4.54,0.211,0.0,18.1,0.55,0.0,16.85,0.12,0.0,13.1,0.1,0.0,13.1,0.08,0.0,K7eV,0.85,0.2,-0.1,0.0,1.0,1.0,-1.0,0.0,17.3,1.0,-1.0,0.0,22.0,20.5,-20.5,0.0,L7.5,1206.0,74.0,-116.0,0.0,1.06,0.16,-0.06,0.0,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.,GQ Lup b,GQ Lup,33.6,6356.0,11.546399999999998,100.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,4862.1471599264505,350.002198444651,1.5,no,0.6800915493523252,Gas Giant,High-mass
HD 100546 b,33:25.4,173.356003,-70:11:41.2,-70.1947861,6.21,0.03,0.0,11.6,0.2,0.0,9.6,0.06,0.0,9.4,0.1,0.0,0.457,0.014,-0.014,0.0,53.0,2.0,-2.0,0.0,,,,,8.4,1.4,-1.4,0.0,97.0,4.0,-4.0,0.0,VLT:Yepun,NACO,4/18/2013,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,1,1,0,1,296.36728,-8.323635,4.6,0.3,0.0,4.6,0.2,0.0,5.83,0.06,0.0,4.52,0.02,0.0,18.1,0.55,0.0,16.85,0.12,0.0,15.4,0.06,-1.0,13.9,0.1,0.0,K7eV,2.4,0.1,0.1,0.0,5.0,5.0,-4.0,0.0,32.0,1.0,-1.0,0.0,8.0,2.5,-2.5,0.0,L7.5,932.0,193.0,-202.0,0.0,6.9,2.7,-2.9,0.0,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.,HD 100546 b,HD 100546,77.342,2701.54146,11.546399999999998,53.0,B,10500.0,0.95,1.395,0.0185,7816229988.222702,68576.70918696809,98894.83324857503,221429.62601793342,909.2277436909247,1.5,no,1.0,Gas Giant,High-mass
2MASS J04414489+2301513 b,41:44.9,70.437073,+23:01:51.4,23.030941,1.68,0.1,0.0,11.6,0.2,0.0,1.54,0.1,0.0,9.4,0.1,0.0,0.105,0.004,-0.004,0.0,53.0,2.0,-2.0,0.0,,,,,120.4,2.2,-2.2,0.0,140.0,4.0,-4.0,0.0,Gemini:Gillett,NIRI,10/13/2009,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref>Todorov et al. 2010</a>,1,0,0,1,176.51059,-15.1142495,4.6,0.3,0.0,13.94,0.03,0.0,13.4,0.03,0.0,4.52,0.02,0.0,18.1,0.55,0.0,15.62,0.1,0.0,14.9,0.1,0.0,13.9,0.1,0.0,M8.5,0.02,0.1,0.1,0.0,1.0,5.0,-4.0,0.0,32.0,1.0,-1.0,0.0,8.0,2.5,-2.5,0.0,L7.5,932.0,193.0,-202.0,0.0,6.9,2.7,-2.9,0.0,"Chabrier et al. (2000), Burrows et al. (1997)",1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.,2MASS J04414489+2301513 b,2MASS J04414489+2301513,2.38,2383.6,11.546399999999998,15.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,216095.42933006448,903.7017904747445,1.5,no,0.6575593561621634,Neptune-like,High-mass
ROXs 42 B b,31:15.0,247.812567,-24:32:43.7,-24.545471,6.86,0.05,0.0,11.6,0.2,0.0,1.54,0.1,0.0,9.4,0.1,0.0,1.169,0.005,-0.005,0.0,150.0,2.0,-2.0,0.0,,,,,269.6,0.2,-0.2,0.0,135.0,4.0,-4.0,0.0,Keck:II,NIRC2,6/22/2011,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,0.02,0.0,9.02,0.02,0.0,8.67,0.02,0.0,4.52,0.02,0.0,18.1,0.55,0.0,15.88,0.05,0.0,14.9,0.1,0.0,13.9,0.1,0.0,M0,0.02,0.1,0.1,0.0,2.0,1.0,-1.0,0.0,32.0,1.0,-1.0,0.0,10.0,4.5,-4.5,0.0,M8-L0,2200.0,400.0,-400.0,0.0,6.9,2.7,-2.9,0.0,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.,ROXs 42 B b,ROXs 42 B,2.38,2860.0,11.546399999999998,157.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,1972.5535153257538,279.3321641135099,1.5,no,0.6575593561621634,Neptune-like,High-mass
ROXs 12 b,26:27.8,246.615609,-25:27:24.7,-25.456865,5.44,0.01,0.0,5.62,0.02,0.0,5.02,0.01,0.0,4.12,0.01,0.0,1.781,0.002,-0.002,0.0,210.0,20.0,-20.0,0.0,,,,,9.1,0.1,-0.1,0.0,120.0,4.0,-4.0,0.0,Keck:II,NIRC2,6/22/2011,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...20K/abstract target=ref>Kraus et al. 2014</a>,0,1,0,1,352.24976,352.24976,11.02,0.02,0.0,9.93,0.02,0.0,9.26,0.02,0.0,8.43,0.02,0.0,16.6,0.07,0.0,15.37,0.08,0.0,14.3,0.06,0.0,12.6,0.09,0.0,M0,0.87,0.08,-0.08,0.0,8.0,4.0,-2.0,0.0,32.0,1.0,-1.0,0.0,16.0,4.0,-4.0,0.0,M8-L0,2200.0,400.0,-400.0,0.0,6.9,2.7,-2.9,0.0,Kraus et al. 2014,1,"imangsep and impa are the average across J, H, K and L bands. The date of observations is not included.",ROXs 12 b,ROXs 12,2.38,5085.0,11.546399999999998,210.0,K,3850.0,0.95,1.395,0.0185,141280769.45378837,19173.303963558927,27649.922557974453,254.938013859375,167.4836422797069,1.5,no,0.6575593561621634,Neptune-like,High-mass
PDS 70 b,08:10.2,212.042333,-41:23:52.58,-41.3979389,9.12,0.24,0.0,5.62,0.02,0.0,7.81,0.31,0.0,6.84,0.62,0.0,0.195,0.002,-0.002,0.0,22.0,20.0,-20.0,0.0,,,,,155.0,0.1,-0.1,0.0,113.4,0.5,-0.5,0.0,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.0621,19.2085494,9.55,0.024,0.0,8.82,0.04,0.0,8.54,0.02,0.0,7.91,0.03,0.0,16.6,0.07,0.0,17.94,0.24,0.0,16.4,0.31,0.0,14.8,0.62,0.0,K7,0.76,0.02,-0.02,0.0,5.0,1.0,-1.0,0.0,0.3,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,L,1200.0,200.0,-200.0,0.0,6.9,2.7,-2.9,0.0,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",1,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS.",PDS 70 b,PDS 70,30.488,953.49,11.546399999999998,20.0,K,3972.0,0.95,1.395,0.0185,160057891.98183608,19173.303963558927,27649.922557974453,31842.505862222315,559.9065612684686,1.5,no,0.6575593561621634,Gas Giant,High-mass
PDS 70 c,08:10.2,212.042333,-41:23:52.58,-41.3979389,7.7,0.2,0.0,5.62,0.02,0.0,8.8,0.2,0.0,6.6,0.2,0.0,0.277,0.006,-0.006,0.0,27.2,0.5,-0.5,0.0,34.5,2.0,-2.0,0.0,277.0,6.5,6.5,0.0,113.4,0.5,-0.5,0.0,"VLT:Melipal, VLT:Antu, VLT:Yepun","SPHERE/IRDIS, NACO, MUSE","2016-05-14, 2016-06-01, 2016-06-20",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,1,1,1,318.0621,19.2085494,9.55,0.024,0.0,8.82,0.04,0.0,8.54,0.02,0.0,7.91,0.03,0.0,16.6,0.07,0.0,17.94,0.24,0.0,16.4,0.31,0.0,14.8,0.62,0.0,K7,0.76,0.02,-0.02,0.0,5.0,1.0,-1.0,0.0,0.3,0.0,0.0,0.0,8.0,4.0,-4.0,0.0,L,1200.0,200.0,-200.0,0.0,6.9,2.7,-2.9,0.0,Allard et al. (2001),1,Delta H mag is H-alpha and delta K mag is K1.,PDS 70 c,PDS 70,22.866,635.66,11.546399999999998,34.0,K,3972.0,0.95,1.395,0.0185,160057891.98183608,19173.303963558927,27649.922557974453,11018.168118416026,429.4287295188406,1.5,no,0.6575593561621634,Gas Giant,High-mass
Oph 11 b,22:25.2,245.605058,-24:05:13.9,-24.087208,0.69,0.03,0.0,0.82,0.03,0.0,0.52,0.03,0.0,6.6,0.2,0.0,1.943,0.022,-0.022,0.0,242.9,25.0,-25.0,0.0,34.5,2.0,-2.0,0.0,176.2,0.5,-0.5,0.0,125.0,25.0,-25.0,0.0,Gemini:Gillett,NIRI,7/1/2006,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...660.1492C/abstract target=ref>Close et al. 2007</a>,1,0,0,1,352.67858,17.8032159,15.04,0.05,0.0,14.19,0.07,0.0,13.92,0.07,0.0,7.91,0.03,0.0,15.9,0.05,0.0,14.88,0.05,0.0,14.4,0.44,0.0,14.8,0.62,0.0,K7,0.76,0.02,-0.02,0.0,5.0,1.0,-1.0,0.0,0.3,0.0,0.0,0.0,14.0,6.0,-5.0,0.0,M9.5,2175.0,175.0,-175.0,0.0,6.9,2.7,-2.9,0.0,"DUSTY, Chabrier et al. 2000",1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band.",Oph 11 b,Oph 11,2.38,4449.62,7300000.0,243.0,M,2375.0,0.95,1.395,0.0185,20459479.90049419,19173.303963558927,27649.922557974453,27.57224812658072,96.0465549524351,1.5,no,0.6575593561621634,Neptune-like,High-mass
HR 8799 b,07:28.7,346.869659,+21:08:03.3,21.1342506,12.57,0.18,0.0,13.9,0.171,0.0,11.8,0.124,0.0,10.4,0.115,0.0,1.73,0.005,-0.005,0.0,68.2,1.0,-1.0,0.0,34.5,2.0,-2.0,0.0,176.2,0.5,-0.5,0.0,39.4,1.0,-1.0,0.0,Keck:II,NIRC2,"2004-07-14, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0.0,5.28,0.018,0.0,5.24,0.02,0.0,5.22,0.018,0.0,19.3,0.169,0.0,17.85,0.18,0.0,17.0,0.123,0.0,15.6,0.114,0.0,A5V,1.5,0.3,-0.3,0.0,60.0,100.0,-30.0,0.0,4.9,0.0,0.0,0.0,7.0,4.0,-2.0,0.0,L,870.0,30.0,-70.0,0.0,1.2,0.1,-0.1,0.0,Baraffe et al. (2003),1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band.",HR 8799 b,HR 8799,13.0,2000.0,170000.0,68.0,G,5552.0,0.95,1.395,-0.47,610995431.9318966,21436.405507891955,30913.55320611787,10515.024134789037,424.4400098193204,1.2,no,0.6575593561621634,Gas Giant,High-mass
HR 8799 c,07:28.7,346.869659,+21:08:03.3,21.1342506,11.63,0.18,0.0,12.3,0.2,0.0,10.9,0.099,0.0,9.5,0.108,0.0,0.95,0.005,0.005,0.0,37.4,1.0,-1.0,0.0,34.5,2.0,-2.0,0.0,176.2,0.5,-0.5,0.0,39.4,1.0,-1.0,0.0,Keck:II,NIRC2,"2004-07-14, 2007-10-17, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0.0,5.28,0.018,0.0,5.24,0.02,0.0,5.22,0.018,0.0,17.6,0.198,0.0,16.91,0.18,0.0,16.1,0.097,0.0,14.7,0.106,0.0,A5V,1.5,0.3,-0.3,0.0,60.0,100.0,-30.0,0.0,4.9,0.0,0.0,0.0,10.0,3.0,-3.0,0.0,L,1090.0,10.0,-90.0,0.0,1.2,0.1,-0.1,0.0,Baraffe et al. (2003),1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band.",HR 8799 c,HR 8799,13.0,3000.0,69000.0,38.0,G,5552.0,0.95,1.395,-0.47,610995431.9318966,19173.303963558927,27649.922557974453,33671.37922386739,567.7785403058245,1.5,no,0.6575593561621634,Gas Giant,High-mass
HR 8799 d,07:28.7,346.869659,+21:08:03.3,21.1342506,11.56,0.23,0.0,12.9,0.434,0.0,10.9,0.133,0.0,9.32,0.17,0.0,0.63,0.005,-0.005,0.0,24.8,1.0,-1.0,0.0,34.5,2.0,-2.0,0.0,176.2,0.5,-0.5,0.0,39.4,1.0,-1.0,0.0,Keck:II,NIRC2,"2007-10-17, 2008-07-11, 2008-08-12, 2008-09-18",Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0.0,5.28,0.018,0.0,5.24,0.02,0.0,5.22,0.018,0.0,18.2,0.433,0.0,16.84,0.23,0.0,16.1,0.132,0.0,14.5,0.169,0.0,A5V,1.5,0.3,-0.3,0.0,60.0,100.0,-30.0,0.0,4.9,0.0,0.0,0.0,10.0,3.0,-3.0,0.0,L,1090.0,10.0,-90.0,0.0,1.2,0.1,-0.1,0.0,Baraffe et al. (2003),1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band.",HR 8799 d,HR 8799,13.0,3000.0,37000.0,24.0,G,5552.0,0.95,1.395,-0.47,610995431.9318966,21436.405507891955,30913.55320611787,84412.27708205643,714.4389958681126,1.2,no,1.0,Gas Giant,High-mass
HR 8799 e,07:28.7,346.869659,+21:08:03.3,21.1342506,11.56,0.23,0.0,12.9,0.434,0.0,10.7,0.22,0.0,9.37,0.12,0.0,0.63,0.005,-0.005,0.0,14.5,0.4,-0.4,0.0,34.5,2.0,-2.0,0.0,242.0,1.0,1.0,0.0,39.4,1.0,-1.0,0.0,Keck:II,NIRC2,11/1/2009,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0.0,5.28,0.018,0.0,5.24,0.02,0.0,5.22,0.018,0.0,18.2,0.433,0.0,16.84,0.23,0.0,15.9,0.227,0.0,14.6,0.132,0.0,A5V,1.5,0.3,-0.3,0.0,60.0,100.0,-30.0,0.0,4.9,0.0,0.0,0.0,10.0,3.0,-3.0,0.0,L,1090.0,10.0,-90.0,0.0,1.2,0.1,-0.1,0.0,Baraffe et al. (2003),1,Delta K mag and planet K mag is Ks.,HR 8799 e,HR 8799,13.115,3178.3,11.546399999999998,16.4,F,7400.0,0.95,1.395,-0.5,1928266305.2972302,38081.71412163969,54917.84036489094,570518.132966984,1151.9433196109128,1.2,no,1.0,Gas Giant,High-mass
HR 2562 b,50:01.0,102.504227,-60:14:56.9,-60.2491455,11.7,0.1,0.0,12.9,0.434,0.0,10.7,0.22,0.0,9.37,0.12,0.0,0.619,0.003,-0.003,0.0,20.3,0.3,-0.3,0.0,34.5,2.0,-2.0,0.0,297.6,0.3,-0.3,0.0,33.6,0.5,-0.5,0.0,Gemini:South,GPI,1/25/2016,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,5.38,0.027,0.0,5.28,0.018,0.0,5.24,0.02,0.0,5.22,0.018,0.0,18.2,0.433,0.0,16.83,0.1,0.0,15.9,0.227,0.0,14.6,0.132,0.0,F5V,1.3,0.3,-0.3,0.0,600.0,300.0,-300.0,0.0,4.9,0.0,0.0,0.0,30.0,15.0,-15.0,0.0,L7,1200.0,100.0,-100.0,0.0,1.11,0.11,-0.11,0.0,Saumon & Marley (2008),1,Delta K mag and planet K mag is Ks.,HR 2562 b,HR 2562,12.442,9534.9,11.546399999999998,20.3,G,5552.0,0.95,1.395,0.02,610995431.9318966,21436.405507891955,30913.55320611787,117987.50661084836,776.8242122446376,1.2,no,1.0,Gas Giant,High-mass
HIP 78530 b,01:55.5,240.481064,-21:58:49.4,-21.9803886,7.44,0.05,0.0,8.13,0.05,0.0,7.27,0.05,0.0,9.37,0.12,0.0,4.533,0.006,-0.006,0.0,710.0,60.0,-60.0,0.0,34.5,2.0,-2.0,0.0,140.3,0.1,-0.1,0.0,156.7,0.5,-0.5,0.0,Gemini:Gillett,NIRI,7/2/2009,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,6.93,0.021,0.0,6.95,0.029,0.0,6.9,0.02,0.0,5.22,0.018,0.0,15.1,0.05,0.0,14.39,0.04,0.0,14.2,0.04,0.0,14.6,0.132,0.0,B9V,2.5,0.3,-0.3,0.0,5.0,1.0,-1.0,0.0,4.9,0.0,0.0,0.0,24.0,2.5,-2.5,0.0,L7,1200.0,100.0,-100.0,0.0,1.11,0.11,-0.11,0.0,Chabrier et al. 2000,1,Delta K mag and planet K mag is Ks.,HIP 78530 b,HIP 78530,2.38,7300.0,11.546399999999998,740.0,B,10500.0,0.95,1.395,0.0185,7816229988.222702,68576.70918696809,98894.83324857503,1135.8579610744612,243.3294945646256,1.5,no,1.0,Neptune-like,High-mass
HD 95086 b,57:03.0,164.262589,-68:40:02.4,-68.6673431,7.44,0.05,0.0,8.13,0.05,0.0,7.27,0.05,0.0,9.79,0.4,0.0,0.624,0.007,-0.007,0.0,56.4,0.7,-0.7,0.0,34.5,2.0,-2.0,0.0,151.8,0.8,-0.8,0.0,90.4,3.4,-3.4,0.0,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.075282,6.93,0.021,0.0,6.95,0.029,0.0,6.79,0.02,0.0,6.7,0.04,0.0,15.1,0.05,0.0,14.39,0.04,0.0,17.7,0.04,-1.0,16.5,0.5,0.0,A8 III,1.6,0.3,-0.3,0.0,17.0,2.0,-2.0,0.0,4.9,0.0,0.0,0.0,5.0,1.0,-1.0,0.0,L7,1000.0,200.0,-200.0,0.0,1.11,0.11,-0.11,0.0,"COND, Baraffe et al. (2003)",1,Delta K mag and planet K mag is Ks.,HD 95086 b,HD 95086,2.38,1589.0,11.546399999999998,55.7,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,15671.757716951384,468.96796221069496,1.5,no,1.0,Neptune-like,High-mass
HD 106906 b,17:53.2,184.471634,-55:58:31.9,-55.9755249,7.44,0.05,0.0,10.7,0.3,0.0,8.78,0.06,0.0,7.94,0.05,0.0,7.11,0.03,-0.03,0.0,654.1,6.0,-6.0,0.0,34.5,2.0,-2.0,0.0,307.3,0.2,-0.2,0.0,92.0,6.0,-6.0,0.0,Magellan:Clay,MagAO/Clio2,2013-04-04 2013-04-12,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,0.03,0.0,6.68,0.05,0.0,6.68,0.03,0.0,6.7,0.1,0.0,17.6,0.3,0.0,14.39,0.04,0.0,15.5,0.06,0.0,14.6,0.1,0.0,F5V,1.5,0.1,-0.1,0.0,13.0,2.0,-2.0,0.0,4.9,0.0,0.0,0.0,11.0,2.0,-2.0,0.0,L2.5 &plusmn; 1,1800.0,100.0,-100.0,0.0,1.11,0.11,-0.11,0.0,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",1,The imhmag is in H2-band.,HD 106906 b,HD 106906,2.38,3496.0,11.546399999999998,650.0,F,6516.0,0.95,1.395,0.0185,1159216184.745704,26409.500900660703,38085.280246215974,218.3372614371675,161.11861209387382,1.5,no,1.0,Neptune-like,High-mass
